buy,bbb,ticket2,20.50,50
sell,aaa,ticket2,20.00,20
update,aaa,ticket2,20.00,50
buy,aaa,ticket1,10.23,3
registration,eee,eee@gmail.com,eE.45,3000.00
sell,fff,ticket3,30.00,30
update,fff,ticket1,10.00,30
sell,aaa,fdassf,30.00,30
sell,aaa,ticket1,10.00,5
sell,aaa,ticket1,10.00,5
sell,aaa,ticket1,10.00,5
update,aaa,ticket1,10.00,5
buy,aaa,ticket1,10.00,5
buy,aaa,ticket1,10.00,5
buy,aaa,ticket1,10.00,30
buy,aaa,ticket1,10.00,0
buy,aaa,ticket1,10.00,10
buy,aaa,ticket1,10.00,20
buy,aaa,ticket1,10.00,1
