aaa@gmail.com,aaa,Aa.45,1480.0
www@gmail.com,www,Ww.45,2236.0
zzz@gmail.com,zzz,Zz.45,4707.0
ddd@gmail.com,ddd,Dd.45,5937.0
bbb@gmail.com,bbb,Bb.45,3000.00
ccc@gmail.com,ccc,Cc.45,2880.0
aaa@gmail.com,aaa,Aa.45,1480.0
www@gmail.com,www,Ww.45,2236.0
zzz@gmail.com,zzz,Zz.45,4707.0
ddd@gmail.com,ddd,Dd.45,5937.0
bbb@gmail.com,bbb,Bb.45,3000.00
ccc@gmail.com,ccc,Cc.45,2880.0
aaa@gmail.com,aaa,Aa.45,3000.00
www@gmail.com,www,Ww.45,3000.00
zzz@gmail.com,zzz,Zz.45,2832.0
ddd@gmail.com,ddd,Dd.45,3168.0
bbb@gmail.com,bbb,Bb.45,3000.00
aaa@gmail.com,aaa,Aa.45,3124.0
www@gmail.com,www,Ww.45,3000.00
zzz@gmail.com,zzz,Zz.45,3000.00
ddd@gmail.com,ddd,Dd.45,2876.0
ccc@gmail.com,ccc,Cc.45,3000.00
bbb@gmail.com,bbb,Bb.45,3000.00
